//Exported ASCII-File
[Header]
FileName = xxx
GraphName = xxx
SizeX = 1
SizeY = 1
SizeGraph = 1465
PositionUnit = µm
PositionX = 1602.80000004657
PositionY = -929.099999953434
PositionZ = 0
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	90deg (B+R)WT1 (Repaired)
rel. 1/cm	CCD cts
 9.99842E+02	 1.31628E+03
 1.00246E+03	 1.31754E+03
 1.00508E+03	 1.31616E+03
 1.00770E+03	 1.31704E+03
 1.01032E+03	 1.31718E+03
 1.01293E+03	 1.31812E+03
 1.01555E+03	 1.31770E+03
 1.01816E+03	 1.31800E+03
 1.02078E+03	 1.31654E+03
 1.02339E+03	 1.32142E+03
 1.02600E+03	 1.31958E+03
 1.02862E+03	 1.32494E+03
 1.03123E+03	 1.32650E+03
 1.03384E+03	 1.32984E+03
 1.03645E+03	 1.33020E+03
 1.03905E+03	 1.33046E+03
 1.04166E+03	 1.32828E+03
 1.04427E+03	 1.33340E+03
 1.04687E+03	 1.33020E+03
 1.04948E+03	 1.33560E+03
 1.05208E+03	 1.33278E+03
 1.05468E+03	 1.33440E+03
 1.05729E+03	 1.33520E+03
 1.05989E+03	 1.33504E+03
 1.06249E+03	 1.33644E+03
 1.06509E+03	 1.33392E+03
 1.06769E+03	 1.33668E+03
 1.07028E+03	 1.33932E+03
 1.07288E+03	 1.34320E+03
 1.07548E+03	 1.34502E+03
 1.07807E+03	 1.35524E+03
 1.08067E+03	 1.35996E+03
 1.08326E+03	 1.36620E+03
 1.08585E+03	 1.37418E+03
 1.08845E+03	 1.38438E+03
 1.09104E+03	 1.38838E+03
 1.09363E+03	 1.39048E+03
 1.09622E+03	 1.38612E+03
 1.09881E+03	 1.37936E+03
 1.10139E+03	 1.37512E+03
 1.10398E+03	 1.36838E+03
 1.10657E+03	 1.36456E+03
 1.10915E+03	 1.36732E+03
 1.11174E+03	 1.36616E+03
 1.11432E+03	 1.37030E+03
 1.11690E+03	 1.37500E+03
 1.11948E+03	 1.37278E+03
 1.12207E+03	 1.36808E+03
 1.12465E+03	 1.36298E+03
 1.12722E+03	 1.35536E+03
 1.12980E+03	 1.34448E+03
 1.13238E+03	 1.34046E+03
 1.13496E+03	 1.33584E+03
 1.13753E+03	 1.33646E+03
 1.14011E+03	 1.33334E+03
 1.14268E+03	 1.33516E+03
 1.14526E+03	 1.33658E+03
 1.14783E+03	 1.33580E+03
 1.15040E+03	 1.33268E+03
 1.15297E+03	 1.32540E+03
 1.15554E+03	 1.32168E+03
 1.15811E+03	 1.31540E+03
 1.16068E+03	 1.31340E+03
 1.16325E+03	 1.31036E+03
 1.16581E+03	 1.30772E+03
 1.16838E+03	 1.30556E+03
 1.17095E+03	 1.30074E+03
 1.17351E+03	 1.30136E+03
 1.17607E+03	 1.30162E+03
 1.17864E+03	 1.30078E+03
 1.18120E+03	 1.29880E+03
 1.18376E+03	 1.29682E+03
 1.18632E+03	 1.29756E+03
 1.18888E+03	 1.29416E+03
 1.19144E+03	 1.29220E+03
 1.19400E+03	 1.29440E+03
